,link,brand,price,sales,stars,batteries_included,mini,flight_time,is_fpv,resolution,wifi_freq,wifi,gps,remote_control,portable,helix_protector,autoreturn,full_turn,altitude_retention,dual_camara,distance,follow_func
95,https://articulo.mercadolibre.com.mx/MLM-2241474362-8k-wifi-mini-drone-con-hd-doble-camara-fpv-3-bateria-_JM#position=17&search_layout=stack&type=item&tracking_id=45025d4c-3e0d-46e9-b2af-85262c67a16e,wifi_ini_rone,454,100,3.2,True,True,True,True,8,2.4,True,False,True,True,False,False,False,False,False,200,False
96,https://articulo.mercadolibre.com.mx/MLM-2181522396-dron-holy-stone-hs280-drone-con-camara-pare-ninos-adultos-_JM#position=53&search_layout=stack&type=item&tracking_id=45025d4c-3e0d-46e9-b2af-85262c67a16e,holy_tone,1453,25,4.0,True,True,True,True,3,2.4,True,False,True,True,False,False,False,False,False,200,False
97,https://www.mercadolibre.com.mx/drone-s60-plegable-recargable-camara-4k-led-control-soporte-color-negro/p/MLM26920000?pdp_filters=category:MLM149102#searchVariation=MLM26920000&position=5&search_layout=stack&type=product&tracking_id=9511bb7b-0f89-4519-a71d-900f8141864a,ming,1099,5,4.0,True,False,True,False,1,2.4,True,False,True,True,False,False,False,False,False,200,False
98,https://articulo.mercadolibre.com.mx/MLM-2088091968-mini-drones-para-ninos-holy-stone-drones-con-3-baterias-_JM#position=37&search_layout=stack&type=item&tracking_id=9511bb7b-0f89-4519-a71d-900f8141864a,holy_tone,825,5,5.0,True,True,True,False,0,2.4,False,False,True,False,False,False,False,False,False,200,False
100,https://articulo.mercadolibre.com.mx/MLM-1557073602-mini-dron-control-remoto-s96-camara-doble-4k-hd-3-baterias-_JM#position=18&search_layout=stack&type=item&tracking_id=9511bb7b-0f89-4519-a71d-900f8141864a,generic,482,100,3.7,True,True,True,True,3,2.4,True,True,True,False,False,False,False,False,False,200,False
101,https://articulo.mercadolibre.com.mx/MLM-1447865861-drone-profesional-cfly-faith-2s-con-2-baterias-_JM#position=39&search_layout=stack&type=item&tracking_id=9511bb7b-0f89-4519-a71d-900f8141864a,c_ly,13999,5,5.0,True,False,True,False,4,2.4,False,True,True,True,False,True,False,False,False,200,True
102,https://articulo.mercadolibre.com.mx/MLM-2295532466-adultosninos-control-remoto-drone-4k-dual-camara-3-baterias-_JM#position=41&search_layout=stack&type=item&tracking_id=9511bb7b-0f89-4519-a71d-900f8141864a,giime,633,2,4.0,True,True,True,True,2,2.4,True,False,True,False,False,False,False,False,True,999,False
103,https://articulo.mercadolibre.com.mx/MLM-1741198582-mini-drone-esfera-voladora-con-luces-y-sensor-de-proximidad-_JM#position=23&search_layout=stack&type=item&tracking_id=9511bb7b-0f89-4519-a71d-900f8141864a,bueatycon,115,25,4.0,True,True,True,False,0,38.0,False,False,False,False,False,False,False,False,False,200,False
106,https://www.mercadolibre.com.mx/drone-dji-mavic-3-cine-premium-combo-con-dual-camara-51k-gris-58ghz-3-baterias/p/MLM18609039?pdp_filters=category:MLM149102#searchVariation=MLM18609039&position=12&search_layout=stack&type=product&tracking_id=9511bb7b-0f89-4519-a71d-900f8141864a,dji,113999,1,4.0,True,True,True,True,5,5.8,True,True,True,True,False,True,False,True,True,200,False
107,https://articulo.mercadolibre.com.mx/MLM-2307922370-adultosninos-drone-4k-brushless-camara-2-baterias-luz-led-_JM#position=28&search_layout=stack&type=item&tracking_id=9511bb7b-0f89-4519-a71d-900f8141864a,giime,725,5,4.0,True,True,True,True,2,2.4,True,False,True,False,False,False,False,False,True,200,False
108,https://articulo.mercadolibre.com.mx/MLM-1510488073-hoshi-hs107-gps-rc-drone-brushless-4k-2-camaras-2-baterias-_JM#position=47&search_layout=stack&type=item&tracking_id=9511bb7b-0f89-4519-a71d-900f8141864a,hoshi,2223,5,4.0,True,False,True,True,4,2.4,True,True,True,True,False,False,False,True,True,200,True
109,https://articulo.mercadolibre.com.mx/MLM-1524227861-drone-vak-965-doble-camara-4k-video-laser-evita-obstaculos-o-_JM#position=55&search_layout=stack&type=item&tracking_id=9511bb7b-0f89-4519-a71d-900f8141864a,vak,1275,5,5.0,True,True,True,False,4,2.4,True,False,True,True,False,True,True,True,True,200,True
110,https://www.mercadolibre.com.mx/holy-stone-fpv-mini-dron-hs430-dron-con-camara-y-3-baterias-color-gris/p/MLM24721771?pdp_filters=category:MLM149102#searchVariation=MLM24721771&position=13&search_layout=stack&type=product&tracking_id=9511bb7b-0f89-4519-a71d-900f8141864a,holy_tone,755,100,4.4,True,True,True,False,3,2.4,True,False,True,True,True,False,True,False,False,200,False
111,https://articulo.mercadolibre.com.mx/MLM-1676178290-drone-profesional-f22s-4k-pro-gps-35min-con-2-baterias-_JM#position=56&search_layout=stack&type=item&tracking_id=9511bb7b-0f89-4519-a71d-900f8141864a,sjrc,9999,25,4.0,True,False,True,False,4,0.0,False,True,True,False,False,False,False,False,False,200,False
112,https://articulo.mercadolibre.com.mx/MLM-1495616583-dron-profesional-sjrc-f11s-4k-pro-5g-3km-con-2-baterias-_JM#position=49&search_layout=stack&type=item&tracking_id=9511bb7b-0f89-4519-a71d-900f8141864a,sjrc,7114,100,4.0,True,False,True,True,4,5.0,True,True,True,True,False,True,False,True,False,3000,True
113,https://articulo.mercadolibre.com.mx/MLM-1353704341-dron-gps-sjrc-f7-4k-pro-camara-4k-gimbal-3ejes-2bateria-_JM#position=26&search_layout=stack&type=item&tracking_id=9511bb7b-0f89-4519-a71d-900f8141864a,sjrc,9499,25,4.0,True,False,True,True,4,5.0,True,True,True,True,False,True,False,True,False,200,True
114,https://articulo.mercadolibre.com.mx/MLM-1621657513-dron-a-control-remoto-axnen-xt9-con-camara-4k-hd-3-baterias-_JM#position=21&search_layout=stack&type=item&tracking_id=9511bb7b-0f89-4519-a71d-900f8141864a,axnen,852,1000,4.0,True,True,True,False,4,2.4,True,False,True,True,False,False,False,False,False,200,False
116,https://www.mercadolibre.com.mx/drone-dfd-f183-con-camara/p/MLM8584173?pdp_filters=category:MLM149102#searchVariation=MLM8584173&position=6&search_layout=stack&type=product&tracking_id=9511bb7b-0f89-4519-a71d-900f8141864a,dfd,1356,4,4.0,False,True,True,False,1,2.4,False,False,False,False,False,False,False,False,False,100,False
117,https://articulo.mercadolibre.com.mx/MLM-2258703320-dron-con-camara-profesional-8k-control-remoto-gps-5ghz-_JM#position=48&search_layout=stack&type=item&tracking_id=9511bb7b-0f89-4519-a71d-900f8141864a,generic,1573,5,4.0,True,True,True,True,8,5.0,True,True,True,False,False,False,False,False,False,200,False
118,https://articulo.mercadolibre.com.mx/MLM-954326527-mini-dron-muneca-hada-voladora-con-luz-led-recargable-_JM#position=51&search_layout=stack&type=item&tracking_id=9511bb7b-0f89-4519-a71d-900f8141864a,amor_mio,298,50,4.0,True,True,True,False,0,2.4,False,False,False,False,False,False,False,False,False,200,False
119,https://articulo.mercadolibre.com.mx/MLM-1879077406-mini-dron-para-ninos-y-jovenes-fly-spinner-top-con-luces-led-_JM#position=29&search_layout=stack&type=item&tracking_id=9511bb7b-0f89-4519-a71d-900f8141864a,fly_pinning_op,279,2,4.0,True,True,True,False,0,2.4,False,False,False,False,False,False,False,False,False,200,False
120,https://articulo.mercadolibre.com.mx/MLM-1383791150-dron-de-fotografia-aerea-quadcopter-de-8-megapixeles-_JM#position=31&search_layout=stack&type=item&tracking_id=9511bb7b-0f89-4519-a71d-900f8141864a,avmzvo,621,500,3.9,True,True,True,False,8,120.0,True,False,True,False,False,False,False,False,False,100,False
121,https://articulo.mercadolibre.com.mx/MLM-1488100380-drone-radioshack-air-fun-soldier-blanco-_JM#position=33&search_layout=stack&type=item&tracking_id=9511bb7b-0f89-4519-a71d-900f8141864a,radioshack,1299,5,4.0,False,False,True,False,0,2.4,False,False,True,False,False,False,False,False,False,300,False
122,https://articulo.mercadolibre.com.mx/MLM-859444922-dron-holy-stone-con-camara-4k-5g-y-2-baterias-negro-_JM#position=30&search_layout=stack&type=item&tracking_id=9511bb7b-0f89-4519-a71d-900f8141864a,holy_tone,6121,50,4.0,True,False,True,True,4,5.0,True,True,True,True,False,True,False,True,False,100,True
123,https://articulo.mercadolibre.com.mx/MLM-1784908030-rc-drone-hd-doble-camara-3-baterias-recargables-_JM#position=36&search_layout=stack&type=item&tracking_id=9511bb7b-0f89-4519-a71d-900f8141864a,nbsd,617,50,3.2,True,True,True,True,4,2.4,False,True,True,True,False,False,False,False,False,200,False
124,https://articulo.mercadolibre.com.mx/MLM-2309332222-dron-de-bolsillo-wingsland-s6-con-4kgps-_JM#position=40&search_layout=stack&type=item&tracking_id=9511bb7b-0f89-4519-a71d-900f8141864a,wingsland,1490,2,4.0,True,True,True,False,4,2.4,True,True,False,False,False,False,False,False,False,200,False
126,https://www.mercadolibre.com.mx/drone-sjrc-f11s-4k-pro-con-camara-4k-dark-gray-5ghz-2-baterias/p/MLM18571236?pdp_filters=category:MLM149102#searchVariation=MLM18571236&position=3&search_layout=stack&type=product&tracking_id=9511bb7b-0f89-4519-a71d-900f8141864a,sjrc,7142,100,4.0,True,True,True,True,4,5.0,True,True,True,True,False,True,False,True,False,200,True
127,https://articulo.mercadolibre.com.mx/MLM-1704305029-drone-kf102-profesional-2-ejes-sin-escobillas-camara-4k-gps-_JM#position=14&search_layout=stack&type=item&tracking_id=9511bb7b-0f89-4519-a71d-900f8141864a,sjrc,3853,500,4.0,True,False,True,True,4,5.0,True,True,True,False,False,False,False,False,False,200,False
128,https://www.mercadolibre.com.mx/mini-drone-dji-dji-mini-2-se-single-con-camara-27k-gris-24ghz-1-bateria/p/MLM21815977?pdp_filters=category:MLM149102#searchVariation=MLM21815977&position=4&search_layout=stack&type=product&tracking_id=9511bb7b-0f89-4519-a71d-900f8141864a,dji,8999,100,5.0,True,True,True,False,7,2.4,True,True,True,False,False,True,False,False,False,18000,False
129,https://www.mercadolibre.com.mx/mini-drone-dji-dji-mini-2-se-fly-more-combo-con-camara-27k-gris-24ghz-3-baterias/p/MLM21937363?pdp_filters=category:MLM149102#searchVariation=MLM21937363&position=7&search_layout=stack&type=product&tracking_id=9511bb7b-0f89-4519-a71d-900f8141864a,dji,11390,100,4.0,True,True,True,False,7,2.4,True,True,True,True,False,True,True,False,False,200,False
130,https://articulo.mercadolibre.com.mx/MLM-1505802082-lsrc-drone-profesional-4k-a-control-remoto-camera-2-baterias-_JM#position=38&search_layout=stack&type=item&tracking_id=9511bb7b-0f89-4519-a71d-900f8141864a,lsrc,455,100,3.8,True,True,True,True,4,2.4,True,False,True,True,False,False,False,False,False,200,False
131,https://articulo.mercadolibre.com.mx/MLM-1366831507-mini-drone-holyton-ht02-pprincipiantes-con-3-baterias-_JM#position=53&search_layout=stack&type=item&tracking_id=9511bb7b-0f89-4519-a71d-900f8141864a,holyton,667,100,4.6,True,True,True,False,0,2.4,False,False,True,False,False,False,False,False,False,200,False
132,https://articulo.mercadolibre.com.mx/MLM-1824645966-e88-rc-drone-con-camara-4k-quadcopter-bateria-_JM#position=15&search_layout=stack&type=item&tracking_id=9511bb7b-0f89-4519-a71d-900f8141864a,generic,458,25,4.0,True,True,True,False,4,2.4,False,False,True,True,False,False,False,False,False,200,False
133,https://articulo.mercadolibre.com.mx/MLM-1349433901-dron-gps-camara-sjrc-f11s-4k-pro-2-baterias-gimbal-2ejes-3km-_JM#position=54&search_layout=stack&type=item&tracking_id=9511bb7b-0f89-4519-a71d-900f8141864a,sjrc,9024,25,5.0,True,False,True,True,4,5.0,True,True,True,True,False,True,False,True,False,200,True
134,https://articulo.mercadolibre.com.mx/MLM-1713489642-bateria-para-dron-k80-_JM#position=27&search_layout=stack&type=item&tracking_id=9511bb7b-0f89-4519-a71d-900f8141864a,dj,303,5,4.0,True,True,True,True,4,5.0,True,True,True,False,False,False,False,False,False,200,False
136,https://articulo.mercadolibre.com.mx/MLM-1495715290-dron-con-camara-doble-4k-hd-de-cuatro-ejes-_JM#position=45&search_layout=stack&type=item&tracking_id=9511bb7b-0f89-4519-a71d-900f8141864a,generic,436,50,3.0,True,True,True,False,4,2.4,False,False,True,True,False,False,False,False,False,200,False
137,https://articulo.mercadolibre.com.mx/MLM-2330778080-dron-con-camara-4k-hd-mini-drone-profesional-_JM#position=25&search_layout=stack&type=item&tracking_id=9511bb7b-0f89-4519-a71d-900f8141864a,generic,1242,5,4.0,True,True,True,True,4,2.4,True,True,True,True,False,False,False,False,False,200,False
138,https://articulo.mercadolibre.com.mx/MLM-961917970-mini-drone-binden-falcon-gd93-camara-4k-10-min-de-vuelo-_JM#position=52&search_layout=stack&type=item&tracking_id=9511bb7b-0f89-4519-a71d-900f8141864a,binden,1499,100,4.0,True,True,True,True,4,2.4,True,False,True,True,False,False,True,True,True,200,False
139,https://articulo.mercadolibre.com.mx/MLM-1701317760-dron-cuadricoptero-a-control-remoto-infrarrojo-_JM#position=35&search_layout=stack&type=item&tracking_id=9511bb7b-0f89-4519-a71d-900f8141864a,dfkt,128,50,4.0,True,True,True,False,0,2.4,False,False,False,False,False,False,False,False,False,200,False
141,https://articulo.mercadolibre.com.mx/MLM-1907511067-drone-mini-camara-wifi-dual-camara-ajustable-4k-hd-plegable-_JM#position=46&search_layout=stack&type=item&tracking_id=9511bb7b-0f89-4519-a71d-900f8141864a,generic,424,5,4.0,True,True,True,True,4,2.4,True,False,True,True,False,False,False,False,True,200,False
142,https://articulo.mercadolibre.com.mx/MLM-793763177-mini-drone-con-camara-hd-720p-wifi-2-baterias-7-funciones-_JM#position=34&search_layout=stack&type=item&tracking_id=9511bb7b-0f89-4519-a71d-900f8141864a,broadream,1104,100,4.0,True,True,True,False,2,2.4,True,False,True,True,False,False,False,False,False,200,False
143,https://www.mercadolibre.com.mx/mini-drone-binden-falcon-gd93-con-dual-camara-4k-negro-24ghz-1-bateria/p/MLM21212435?pdp_filters=category:MLM149102#searchVariation=MLM21212435&position=8&search_layout=stack&type=product&tracking_id=9511bb7b-0f89-4519-a71d-900f8141864a,binden,1699,100,4.0,True,True,True,True,4,2.4,True,False,True,True,False,False,True,True,True,1500,False
144,https://articulo.mercadolibre.com.mx/MLM-2247575350-dron-con-camara-profesional-8k-drone-gps-evasion-de-obstacul-_JM#position=15&search_layout=stack&type=item&tracking_id=28c60b3e-2922-4e2f-ac6f-22888af73d94,generic,2025,50,4.0,True,False,True,True,8,2.4,True,True,True,True,True,True,False,True,False,200,True
146,https://articulo.mercadolibre.com.mx/MLM-1499158704-dron-cuadricoptero-axnen-xt9-a-control-remoto-ccamara-4k-hd-_JM#position=47&search_layout=stack&type=item&tracking_id=28c60b3e-2922-4e2f-ac6f-22888af73d94,axnen,891,5000,4.0,True,True,True,False,2,2.4,True,False,True,True,False,True,True,True,True,200,False
147,https://articulo.mercadolibre.com.mx/MLM-745323295-drone-cuatro-ejes-anti-colision-luces-led-rotacion-360-uav-_JM#position=38&search_layout=stack&type=item&tracking_id=28c60b3e-2922-4e2f-ac6f-22888af73d94,tcm,599,100,3.9,False,False,True,False,0,2.4,False,False,True,False,False,False,False,False,False,600,False
148,https://articulo.mercadolibre.com.mx/MLM-1493732223-mini-drones-fpv-dron-con-camara-aititude-hold-2-baterias-_JM#position=19&search_layout=stack&type=item&tracking_id=28c60b3e-2922-4e2f-ac6f-22888af73d94,holy_tone,656,5,4.0,True,True,True,True,3,2.4,True,False,True,False,False,False,False,False,False,200,False
149,https://www.mercadolibre.com.mx/drone-dji-mavic-air-2s-drdji022-single-con-camara-54k-gris-58ghz-1-bateria/p/MLM17926310?pdp_filters=category:MLM149102#searchVariation=MLM17926310&position=6&search_layout=stack&type=product&tracking_id=28c60b3e-2922-4e2f-ac6f-22888af73d94,dji,17999,100,4.8,True,False,True,False,4,5.8,True,True,True,True,False,True,True,True,False,600,True
150,https://articulo.mercadolibre.com.mx/MLM-890683394-bateria-drone-litio-lw-903052-37v-1800-mah-bateria-pila-_JM#position=52&search_layout=stack&type=item&tracking_id=28c60b3e-2922-4e2f-ac6f-22888af73d94,generic,236,5,4.0,True,False,True,False,0,2.4,False,False,True,False,False,False,False,False,False,200,False
151,https://articulo.mercadolibre.com.mx/MLM-1517058356-dron-cuadricoptero-h2-plegable-con-camara-4k-wifi-fpv-_JM#position=18&search_layout=stack&type=item&tracking_id=28c60b3e-2922-4e2f-ac6f-22888af73d94,h2,396,25,4.0,True,True,True,True,4,2.4,True,True,True,True,False,False,False,False,False,200,False
152,https://www.mercadolibre.com.mx/dji-mini-3-pro-dji-rc-dron-ligero-y-plegable-con-video-4k-color-gris/p/MLM19165872?pdp_filters=category:MLM149102#searchVariation=MLM19165872&position=7&search_layout=stack&type=product&tracking_id=28c60b3e-2922-4e2f-ac6f-22888af73d94,dji,19999,500,4.9,True,True,True,True,4,5.8,True,True,True,True,False,True,False,True,False,200,False
153,https://articulo.mercadolibre.com.mx/MLM-1955563203-dron-t210-mini-control-remoto-camara-4k-con-bateria-extra-_JM#position=42&search_layout=stack&type=item&tracking_id=28c60b3e-2922-4e2f-ac6f-22888af73d94,walkera,10999,1,5.0,True,True,True,False,3,2400.0,True,True,True,True,False,False,False,False,False,200,False
155,https://articulo.mercadolibre.com.mx/MLM-1360651646-dron-holy-stone-mini-hs210-a-control-remoto-con-3-baterias-_JM#position=51&search_layout=stack&type=item&tracking_id=28c60b3e-2922-4e2f-ac6f-22888af73d94,holy_tone,752,5,4.0,True,True,True,False,0,2.4,False,False,True,False,True,False,True,True,False,200,False
156,https://articulo.mercadolibre.com.mx/MLM-2236279852-control-remoto-drones-camara-4k-hd-quadcopter-2-baterias-_JM#position=39&search_layout=stack&type=item&tracking_id=28c60b3e-2922-4e2f-ac6f-22888af73d94,yugari,459,100,4.0,True,True,True,True,4,2.4,False,True,True,False,False,False,False,False,False,200,False
157,https://articulo.mercadolibre.com.mx/MLM-1642393830-mini-abejon-barato-con-la-camara-del-abejon-de-multilaser-_JM#position=36&search_layout=stack&type=item&tracking_id=28c60b3e-2922-4e2f-ac6f-22888af73d94,lsrc,636,50,4.0,True,True,True,True,2,2.4,True,False,True,True,False,False,False,False,False,200,False
158,https://articulo.mercadolibre.com.mx/MLM-1904532853-dron-cuadricoptero-sixvery-sg907max-con-camara-dual-8k-hd-_JM#position=50&search_layout=stack&type=item&tracking_id=28c60b3e-2922-4e2f-ac6f-22888af73d94,sixvery,3178,1,4.0,True,True,True,True,6,1900.0,True,True,True,False,False,False,False,False,True,18000,False
160,https://articulo.mercadolibre.com.mx/MLM-1939352093-rg108-dron-profesional-8k-camara-de-alta-definicion-gps-_JM#position=41&search_layout=stack&type=item&tracking_id=28c60b3e-2922-4e2f-ac6f-22888af73d94,rg108,4267,5,4.0,True,False,True,False,8,5.0,True,True,True,False,False,False,False,False,False,200,False
161,https://articulo.mercadolibre.com.mx/MLM-2290683216-dron-sjrc-f11s-4k-pro-5g-con-camara-profesional-3km-2-bat-_JM#position=22&search_layout=stack&type=item&tracking_id=28c60b3e-2922-4e2f-ac6f-22888af73d94,sjrc,7032,5,5.0,True,False,True,True,4,5.0,True,True,True,True,False,False,False,False,False,200,False
163,https://articulo.mercadolibre.com.mx/MLM-1898634587-mini-drones-con-camara-doble-profesionales-wifi-8k-5ghz-gps-_JM#position=23&search_layout=stack&type=item&tracking_id=28c60b3e-2922-4e2f-ac6f-22888af73d94,generic,1519,5,4.0,True,True,True,True,8,5.8,True,True,True,False,False,False,False,False,False,200,False
164,https://articulo.mercadolibre.com.mx/MLM-1457188037-holy-stone-fpv-mini-dron-hs430-dron-con-camara-y-3-baterias-_JM#position=55&search_layout=stack&type=item&tracking_id=28c60b3e-2922-4e2f-ac6f-22888af73d94,holy_tone,1277,50,3.6,True,True,True,True,3,2.4,True,False,True,True,True,False,True,False,False,200,False
165,https://articulo.mercadolibre.com.mx/MLM-1747993019-mini-drone-kf108-max-4k-camara-gps-evitacion-de-obstaculos-_JM#position=16&search_layout=stack&type=item&tracking_id=28c60b3e-2922-4e2f-ac6f-22888af73d94,sjrc,1945,100,4.0,True,False,True,True,4,5.0,True,True,True,False,False,False,False,False,False,200,False
167,https://articulo.mercadolibre.com.mx/MLM-818849319-drone-vak-k3-hover-acrobacias-6-ejes-360-foldable-_JM#position=49&search_layout=stack&type=item&tracking_id=28c60b3e-2922-4e2f-ac6f-22888af73d94,vak,594,50,4.5,True,False,True,False,0,2.5,False,False,True,True,False,True,True,True,False,200,False
168,https://articulo.mercadolibre.com.mx/MLM-1461562860-mini-drone-e58-wifi-fpv-con-camara-4k-rc-quadcopter-pro-rtf-_JM#position=56&search_layout=stack&type=item&tracking_id=28c60b3e-2922-4e2f-ac6f-22888af73d94,generic,396,100,3.6,True,True,True,True,4,2.0,True,False,True,True,False,False,False,False,False,200,False
169,https://articulo.mercadolibre.com.mx/MLM-1481156667-drone-binden-dm107s-nueva-generacion-camara-hd-negro-_JM#position=40&search_layout=stack&type=item&tracking_id=28c60b3e-2922-4e2f-ac6f-22888af73d94,binden,1999,25,3.4,True,True,True,False,2,2.4,True,False,True,True,True,True,True,True,True,3000,False
170,https://articulo.mercadolibre.com.mx/MLM-1583236982-lsrc-xt5-mini-drone-con-camara-dual-4k-wifi-fpv-2-baterias-_JM#position=28&search_layout=stack&type=item&tracking_id=28c60b3e-2922-4e2f-ac6f-22888af73d94,lsrc,585,5,4.0,True,True,True,True,4,2.4,True,False,True,True,False,False,False,False,True,100,False
171,https://www.mercadolibre.com.mx/drone-sjrc-f11-4k-pro-con-camara-4k-plateado-gris-5ghz-1-bateria/p/MLM17236285?pdp_filters=category:MLM149102#searchVariation=MLM17236285&position=11&search_layout=stack&type=product&tracking_id=28c60b3e-2922-4e2f-ac6f-22888af73d94,sjrc,5442,100,4.6,True,True,True,True,4,5.0,True,True,True,True,False,True,False,True,False,30000,True
172,https://articulo.mercadolibre.com.mx/MLM-1701330523-avion-de-espuma-su-3524g-controlado-por-radio-_JM#position=21&search_layout=stack&type=item&tracking_id=28c60b3e-2922-4e2f-ac6f-22888af73d94,dfkt,311,50,4.0,True,False,True,False,0,2.4,False,False,True,False,False,False,False,False,False,200,False
173,https://articulo.mercadolibre.com.mx/MLM-1397499842-dron-plegable-principiantes-con-camara-doble-hd-24-wifi-_JM#position=45&search_layout=stack&type=item&tracking_id=28c60b3e-2922-4e2f-ac6f-22888af73d94,drone,1140,5,4.0,True,True,True,True,2,24.0,True,False,True,True,False,False,False,False,True,200,False
175,https://articulo.mercadolibre.com.mx/MLM-1847257192-dji-drone-mini-2-se-dron-mini-con-camara-ligero-y-plegable-_JM#position=44&search_layout=stack&type=item&tracking_id=28c60b3e-2922-4e2f-ac6f-22888af73d94,dji,8299,100,4.0,True,True,True,False,7,2.4,False,False,False,True,False,False,False,False,False,200,False
176,https://www.mercadolibre.com.mx/drone-binden-s7-con-camara-720phd-negro-5ghz-1-bateria/p/MLM20920905?pdp_filters=category:MLM149102#searchVariation=MLM20920905&position=3&search_layout=stack&type=product&tracking_id=28c60b3e-2922-4e2f-ac6f-22888af73d94,binden,3749,50,4.0,True,True,True,False,2,5.0,True,True,True,True,False,False,False,False,False,200,True
177,https://articulo.mercadolibre.com.mx/MLM-1791968866-e100-rc-drone-con-camara-4k-hd-quadcopter-evitar-obstaculos-_JM#position=27&search_layout=stack&type=item&tracking_id=28c60b3e-2922-4e2f-ac6f-22888af73d94,generic,366,100,2.7,True,True,True,False,4,2.4,True,False,True,True,False,False,False,False,False,200,False
178,https://www.mercadolibre.com.mx/drone-binden-b16-pro-mjx-b16p-con-camara-4k-negro-5ghz/p/MLM18538576?pdp_filters=category:MLM149102#searchVariation=MLM18538576&position=13&search_layout=stack&type=product&tracking_id=28c60b3e-2922-4e2f-ac6f-22888af73d94,binden,7499,100,4.9,False,True,True,False,4,5.0,True,True,True,True,False,False,False,True,False,200,True
179,https://articulo.mercadolibre.com.mx/MLM-954727330-drone-vak-k1-doble-camara-4k-wifi-video-control-360-6-ejes-_JM#position=53&search_layout=stack&type=item&tracking_id=28c60b3e-2922-4e2f-ac6f-22888af73d94,vak,1049,100,4.0,True,False,True,False,4,2.4,True,False,True,True,False,True,True,True,True,200,True
180,https://articulo.mercadolibre.com.mx/MLM-1785776130-mini-drone-para-ninos-dron-mini-con-3-baterias-luces-led-_JM#position=25&search_layout=stack&type=item&tracking_id=28c60b3e-2922-4e2f-ac6f-22888af73d94,deerc,857,50,4.0,True,True,True,False,0,2.4,False,False,True,False,False,False,False,False,False,200,False
181,https://www.mercadolibre.com.mx/mini-drone-holy-stone-hs210-verde-3-baterias/p/MLM15044109?pdp_filters=category:MLM149102#searchVariation=MLM15044109&position=8&search_layout=stack&type=product&tracking_id=28c60b3e-2922-4e2f-ac6f-22888af73d94,holy_tone,752,1000,4.0,True,True,True,False,0,2.4,False,False,True,False,True,False,True,True,False,200,False
182,https://articulo.mercadolibre.com.mx/MLM-1644288597-drone-flying-helicoptero-con-sensor-de-induccion-infrarrojo-_JM#position=14&search_layout=stack&type=item&tracking_id=28c60b3e-2922-4e2f-ac6f-22888af73d94,miitong,118,50,4.0,False,True,True,False,0,2.4,False,False,False,False,False,False,False,False,False,200,False
183,https://articulo.mercadolibre.com.mx/MLM-1813771867-drone-control-remoto-ourlife-con-camara-dual-hd-y-2-baterias-_JM#position=17&search_layout=stack&type=item&tracking_id=28c60b3e-2922-4e2f-ac6f-22888af73d94,ourlife,454,100,4.5,True,True,True,False,4,2.4,True,False,True,True,False,False,False,False,True,200,False
184,https://articulo.mercadolibre.com.mx/MLM-1663021010-rc-drone-con-camara-4k-quadcopter-3-baterias-doble-camara-_JM#position=54&search_layout=stack&type=item&tracking_id=28c60b3e-2922-4e2f-ac6f-22888af73d94,best,599,100,3.9,True,True,True,False,4,2.4,True,False,True,False,False,False,False,False,False,200,False
185,https://articulo.mercadolibre.com.mx/MLM-2296052808-ninos-drone-4k-dual-hd-camara-2-baterias-control-remoto-_JM#position=26&search_layout=stack&type=item&tracking_id=28c60b3e-2922-4e2f-ac6f-22888af73d94,giime,1083,1,4.0,True,True,True,True,2,2.4,True,False,True,False,False,False,False,False,True,100,False
186,https://articulo.mercadolibre.com.mx/MLM-1919614815-dron-snaptain-sp650-camara-1080p-hd-con-control-de-voz-ofert-_JM#position=28&search_layout=stack&type=item&tracking_id=c1a0137b-7f94-49ac-a05f-811805581c19,snaptain,1299,1,4.0,True,False,True,False,2,25.0,False,False,True,False,False,False,False,False,False,1200,False
188,https://articulo.mercadolibre.com.mx/MLM-1882511304-dji-mini-3-solo-dron-_JM#position=23&search_layout=stack&type=item&tracking_id=c1a0137b-7f94-49ac-a05f-811805581c19,dji,10899,5,5.0,True,True,True,True,4,2.4,False,False,False,True,False,False,False,False,False,200,False
190,https://articulo.mercadolibre.com.mx/MLM-1860036091-drone-l900-gps-4k-camaras-duales-profesional-fpv-3-baterias-_JM#position=34&search_layout=stack&type=item&tracking_id=c1a0137b-7f94-49ac-a05f-811805581c19,drone,4206,5,4.0,True,True,True,True,4,5.0,True,True,True,True,False,False,False,False,True,200,False
191,https://articulo.mercadolibre.com.mx/MLM-1701330703-dron-plegable-a-control-remoto-con-camara-doble-hd-_JM#position=21&search_layout=stack&type=item&tracking_id=c1a0137b-7f94-49ac-a05f-811805581c19,keleitoy,438,500,4.0,True,False,True,True,4,2.4,True,False,True,True,False,False,False,False,False,100,False
192,https://www.mercadolibre.com.mx/dji-avata-explorer-combo-color-negro/p/MLM23367220?pdp_filters=category:MLM149102#searchVariation=MLM23367220&position=9&search_layout=stack&type=product&tracking_id=c1a0137b-7f94-49ac-a05f-811805581c19,dji,26999,5,4.0,True,True,True,True,4,5.8,True,True,True,False,False,False,False,False,False,18000,False
