,link,brand,price,sales,stars,batteries_included,mini,flight_time,is_fpv,resolution,wifi_freq,wifi,gps,remote_control,portable,helix_protector,autoreturn,full_turn,altitude_retention,dual_camara,distance,follow_func
25,https://www.mercadolibre.com.mx/mini-drone-deerc-d20-con-camara-hd-negro-2-baterias/p/MLM16214395?pdp_filters=category:MLM149102#searchVariation=MLM16214395&position=6&search_layout=stack&type=product&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,deerc,1169,1000,3.9,True,True,True,False,2,2.4,True,False,True,False,True,False,True,True,False,3000,False
26,https://articulo.mercadolibre.com.mx/MLM-1502436042-mini-drone-plegable-con-camara-evasion-automatica-obstaculos-_JM#position=49&search_layout=stack&type=item&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,drone,393,100,4.0,True,True,True,False,4,2.4,True,False,True,True,False,False,False,False,False,600,False
27,https://articulo.mercadolibre.com.mx/MLM-1489545823-drone-con-camara-profesional-8k-a-control-remoto-gps-5ghz-_JM#position=26&search_layout=stack&type=item&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,bohai,2057,5000,4.0,True,True,True,True,3,5.8,True,True,True,False,False,True,False,False,True,10000,True
28,https://www.mercadolibre.com.mx/dji-air-3-fly-more-combo-dji-rc-2-color-gris/p/MLM26061260?pdp_filters=category:MLM149102#searchVariation=MLM26061260&position=4&search_layout=stack&type=product&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,dji,29999,5,4.0,True,True,True,False,0,2.4,False,False,False,False,False,False,False,False,False,200,False
29,https://articulo.mercadolibre.com.mx/MLM-1495630810-dron-lyzrc-l900-pro-se-hd-ccamara-4k-y-3-baterias-naranja-_JM#position=51&search_layout=stack&type=item&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,lyzrc_rone,2145,100,4.4,True,True,True,True,4,5.0,True,True,True,True,False,False,False,False,False,100,False
31,https://www.mercadolibre.com.mx/dron-dji-air-3-dji-rc-n2-color-gris/p/MLM25955664?pdp_filters=category:MLM149102#searchVariation=MLM25955664&position=5&search_layout=stack&type=product&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,dji,23399,5,4.0,True,True,True,False,0,2.4,False,False,False,False,False,False,False,False,False,10000,False
32,https://articulo.mercadolibre.com.mx/MLM-1789948171-minidron-plegable-gpscamara-8k3-baterias-una-hora-vuelo-_JM#position=42&search_layout=stack&type=item&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,lian_ighty,1655,500,3.6,True,True,True,True,8,400.0,True,True,True,True,False,False,False,False,False,200,False
33,https://www.mercadolibre.com.mx/drone-sjrc-f7-4k-pro-con-camara-4k-gris-5ghz-2-baterias/p/MLM18517747?pdp_filters=category:MLM149102#searchVariation=MLM18517747&position=21&search_layout=stack&type=product&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,sjrc,7662,100,4.6,True,True,True,True,4,5.0,True,True,True,True,False,True,False,False,False,200,True
34,https://articulo.mercadolibre.com.mx/MLM-2178194272-dron-profesional-axnen-l900-pro-ccamara-4k-gps-2-baterias-_JM#position=41&search_layout=stack&type=item&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,axnen,1771,500,4.0,True,True,True,True,4,5.0,True,True,True,True,False,True,False,True,False,200,False
35,https://www.mercadolibre.com.mx/mini-drone-dji-mini-3-fly-more-combo-plus-con-camara-4k-gris-3-baterias/p/MLM21014378?pdp_filters=category:MLM149102#searchVariation=MLM21014378&position=14&search_layout=stack&type=product&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,dji,20999,100,4.3,True,True,True,False,4,2.4,False,True,True,True,False,False,False,False,False,4000,False
36,https://www.mercadolibre.com.mx/dron-s85-rc-con-camara-cuadricoptero-4k-rc/p/MLM21857132?pdp_filters=category:MLM149102#searchVariation=MLM21857132&position=7&search_layout=stack&type=product&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,generic,714,5,4.0,False,True,True,False,1,2.4,False,False,False,True,False,False,False,False,False,200,False
