,Price,Sales,Stars,Marca,Modelo,Unidades por pack,Cantidad de baterías incluidas,Es mini,Tiempo máximo de vuelo,Es FPV,Resolución máxima de la cámara,Con cámara,Frecuencia de funcionamiento del Wi-Fi,Con Wi-Fi,Con GPS,Con control remoto,Page,Línea,Versión,Color,Tipos de drone,Es plegable,Fabricante,Modelo alfanumérico,Ambientes de uso,Con protector de hélices,Con función de auto retorno,Con giro 360,Con retención de altitud,Temperatura mínima de funcionamiento - Temperatura máxima de funcionamiento,Accesorios incluidos,Con cámara dual,Zoom de la cámara,Velocidad máxima,Resistencia al viento,Máxima distancia de vuelo,Máxima altura de vuelo,Cantidad de motores,Duración de la batería,Con función de seguimiento,Es controlado por smartphone,Con modo sin cabeza,Edad mínima recomendada,Duración del producto,Plazo de repuestos o servicio técnico,Tamaño de la pantalla del control remoto,Con control remoto táctil,Es kit,Usos recomendados,Homologación Anatel Nº
10,517,5,0.0,YLR/C,YLR/C S65 RC Drone con Cámara 4K Dual Camera RC Quadcopter con Función Trayectoria Vuelo Control de Gestos Bolsa de Almacenaje Paquete 3 Baterías,1.0,3.0,Sí,12 m,Sí,4K,Sí,2.4 GHz,Sí,No,Sí,https://articulo.mercadolibre.com.mx/MLM-2345049268-ylrc-s65-rc-cuadricoptero-drone-con-camara-dual-4k-_JM#position=50&search_layout=stack&type=item&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,4k,YLR/C S65,,RC Drone,Sí,,,,,,,,,,Sí,,,,,,,,,,,,,,,,,,
11,"8,299",100,5.0,DJI,DJI Mini 2 SE,1.0,1.0,Sí,,No,2.7K,Sí,2.4 GHz,,Sí,Sí,https://www.mercadolibre.com.mx/dji-drone-mini-2-se-dron-mini-con-camara-ligero-y-plegable-color-gris/p/MLM23449398?pdp_filters=category:MLM149102#searchVariation=MLM23449398&position=17&search_layout=stack&type=product&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,Mini,,Gris,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,500,25,0.0,Genérica,Generic,1.0,,No,,No,,No,,No,No,No,https://articulo.mercadolibre.com.mx/MLM-2502633862-caja-de-sorpresa-misteriosa-electronica-random-_JM#position=37&search_layout=stack&type=item&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,Caja Misteriosa,Caja Misteriosa,,CajaSorpresa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"2,500",1000,4.2,Lian Eighty,LF007 MAX,1.0,3.0,Sí,5000 m,Sí,8K,Sí,6 GHz,Sí,Sí,Sí,https://articulo.mercadolibre.com.mx/MLM-1857127033-sin-escobillas-mini-dron-gps-profesionalcamara8k3-baterias-_JM#position=32&search_layout=stack&type=item&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,Dron profesional,Dron profesional,,Aéreo,,,,,,Sí,,,,"8 hélices de repuesto,3 cables de carga USB,1 destornillador,1 manual,1 funda de transporte",,,,,,,,50 m,Sí,,,,,,,,,,
14,"1,099",1,0.0,CHOKONLINE,AFB-DRON,1.0,,Sí,,,HD,Sí,2.4 GHz,Sí,,Sí,https://articulo.mercadolibre.com.mx/MLM-2542164872-mini-dron-aereo-con-camara-dual-_JM#position=52&search_layout=stack&type=item&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,AFB-DRON,,,,Sí,,,,,,,,,,Sí,,,,,,,,,,,,,,,,,,
15,"12,999",5,0.0,DJI,Mini 3,1.0,1.0,Sí,38 m,No,4K,Sí,5.8 GHz,Sí,Sí,Sí,https://www.mercadolibre.com.mx/dji-mini-3-dji-rc-dron-mini-con-camara-video-4k-color-gris/p/MLM25895269?pdp_filters=category:MLM149102#searchVariation=MLM25895269&position=3&search_layout=stack&type=product&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,Mini,Single,Gris,Aéreo,Sí,,mini3,,No,,,,,"1 bolsa de hombro, 1 cable USB, 1 cable de tipo C a tipo-C PD, 1 controlador, 1 destornillador, 1 hub de carga bidireccional, 18 tornillos de repuesto, 6 hélices de repuesto",,4 x,,10.7 m/s,18 km,,4.0,51 m,,,,,,,,,,,
16,655,50,0.0,Genérica,gd,1.0,1.0,Sí,1 h,No,0,No,0 GHz,No,No,Sí,https://articulo.mercadolibre.com.mx/MLM-1949855513-caja-misteriosa-platino-hasta-13-productos-dd-_JM#position=30&search_layout=stack&type=item&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,1,0,,MINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,398,25,0.0,Genérica,Genérica,1.0,2.0,Sí,,,Full HD,Sí,,,No,Sí,https://articulo.mercadolibre.com.mx/MLM-1911413563-mini-drone-con-camara-hd-2-baterias-y-maletin-de-transporte-_JM#position=22&search_layout=stack&type=item&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,Negro,chica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,370,100,0.0,Genérica,3,1.0,1.0,Sí,1 h,No,0,No,0 GHz,No,No,Sí,https://articulo.mercadolibre.com.mx/MLM-1957739603-caja-misteriosa-premium-hasta-7-productos-dd-_JM#position=27&search_layout=stack&type=item&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,2,cf,,Aéreo,,,,,Sí,Sí,Sí,Sí,,"1 cargador USB,4 hélices,Trenes de aterrizaje,4 protectores de hélices,1 destornillador,Tornillos,1 manual",,,,,80 m,,4.0,,,,Sí,14 años,,,,,,,
19,"29,999",5,0.0,DJI,DJI Drone Air 3 Fly More Combo RC2,3.0,3.0,,,,48 MP,Sí,,,,,https://articulo.mercadolibre.com.mx/MLM-2546601378-dji-air-3-fly-more-combo-rc2-dron-con-doble-camara-4k-hdr-_JM#position=43&search_layout=stack&type=item&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,Fly More Combo RC2,2023,,,,DJI,EB3WBC,,,,,,,,,,,,,,,,,,,,,,,,,,
